,0
0,60311.94
1,56714.086
2,55491.58
3,54861.22
4,54627.15
5,54698.406
6,54919.746
7,55038.76
8,55005.242
9,54682.76
10,53046.117
11,50470.62
12,48012.637
13,45816.42
14,45448.72
15,47510.273
16,49902.1
17,52047.53
18,53702.324
19,55587.594
20,57166.5
21,57523.633
22,57254.703
23,56933.793
24,56309.06
25,54720.43
26,53137.883
27,51737.86
28,50707.293
29,50056.094
30,50010.688
31,49861.793
32,49343.25
33,47421.49
34,44363.414
35,43214.844
36,42954.766
37,42959.375
38,43134.453
39,43594.727
40,45021.133
41,48422.37
42,51703.273
43,54936.914
44,57265.12
45,58061.33
46,57835.32
47,57201.156
48,56178.367
49,53674.066
50,50864.887
51,49181.824
52,48641.742
53,48960.355
54,49991.44
55,52208.86
56,54921.734
57,57411.066
58,58425.484
59,57227.523
60,55525.453
61,55104.02
62,54954.754
63,56009.1
64,58275.164
65,61150.117
66,63805.324
67,64532.285
68,64747.8
69,64018.48
70,62490.22
71,60921.793
72,58888.582
73,55872.324
74,54380.125
75,53448.88
76,53271.805
77,53826.84
78,55371.87
79,58503.04
80,60179.066
81,59432.812
82,58104.113
83,57363.457
84,56985.51
85,57350.367
86,58052.23
87,59351.562
88,60771.82
89,62118.6
90,63090.215
91,63559.223
92,63724.08
93,63419.79
94,62267.914
95,60826.99
96,59274.453
97,59012.4
98,58674.79
99,58709.492
100,58771.14
101,58960.594
102,59526.883
103,60117.816
104,60582.38
105,60848.36
106,60796.535
107,60455.242
108,59895.82
109,59109.62
110,58622.51
111,58589.805
112,58788.137
113,59209.63
114,60013.246
115,61139.887
116,62225.367
117,62607.184
118,62357.047
119,61648.664
120,60489.137
121,59898.145
122,57084.527
123,55681.492
124,55470.21
125,56281.504
126,58421.17
127,60442.562
128,61387.277
129,60895.83
130,60369.176
131,59952.8
132,59482.016
133,59908.95
134,60398.35
135,61428.88
136,62819.258
137,63744.81
138,64155.87
139,64487.035
140,64542.355
141,63954.414
142,62765.453
143,61630.22
144,60395.418
145,57715.574
146,55615.453
147,54350.082
148,53554.07
149,53430.574
150,54195.832
151,55609.35
152,58566.785
153,61160.68
154,61303.957
155,60065.914
156,58819.168
157,58021.81
158,58527.805
159,59818.836
160,61953.605
161,63974.69
162,65276.895
163,65779.51
164,65828.42
165,65079.383
166,63283.32
167,61637.273
168,59389.195
169,56097.19
170,54282.523
171,52898.51
172,52284.074
173,52123.883
174,52164.246
175,52624.01
176,53152.336
177,52519.05
178,50328.027
179,47471.348
180,45666.56
181,45248.8
182,45960.55
183,47934.16
184,49765.92
185,51723.902
186,54411.97
187,56948.06
188,58467.67
189,59238.1
190,58407.72
191,57017.586
192,55439.83
193,53601.82
194,51865.152
195,50216.273
196,48920.758
197,48267.66
198,48243.543
199,48338.848
200,47736.61
201,46332.96
202,44455.934
203,43514.504
204,43203.496
205,43206.973
206,43507.55
207,43967.773
208,45814.93
209,49101.18
210,52237.047
211,56136.367
212,58388.45
213,59503.195
214,58854.164
215,57359.703
216,56195.48
217,52675.934
218,50271.637
219,48569.305
220,47802.35
221,48114.797
222,48954.297
223,51443.7
224,54778.9
225,60044.93
226,62531.47
227,63230.805
228,64059.29
229,64444.066
230,64590.938
231,64059.582
232,62972.395
233,61589.125
234,60684.734
235,60611.516
236,61174.863
237,62072.445
238,62937.613
239,63563.242
240,64077.02
241,64348.223
242,64490.695
243,64450.508
244,64127.695
245,63531.074
246,62984.656
247,62662.336
248,62594.984
249,62828.51
250,63281.066
251,63813.504
252,64137.17
253,64316.21
254,64325.645
255,64135.094
256,64136.66
257,64182.97
258,64342.363
259,64641.32
260,65015.637
261,64642.594
262,63557.918
263,62273.12
264,60916.445
265,58279.523
266,56473.242
267,55686.61
268,55130.75
269,55189.305
270,55837.81
271,57074.777
272,58484.652
273,61363.492
274,63208.883
275,62464.574
276,60562.277
277,58744.527
278,58040.312
279,59278.11
280,60621.96
281,62513.492
282,63933.03
283,64525.875
284,64826.535
285,64275.824
286,62733.176
287,61442.637
288,60174.992
289,57180.297
290,55396.35
291,54142.945
292,53430.453
293,53424.555
294,54191.973
295,55452.688
296,57802.645
297,60628.855
298,61651.95
299,59766.902
300,58094.94
301,56793.242
302,56231.043
303,57127.723
304,59111.23
305,61459.39
306,63712.86
307,64759.06
308,65004.242
309,64799.69
310,63467.46
311,61730.152
312,60486.934
313,57983.48
314,55482.414
315,53795.414
316,52853.547
317,52645.523
318,53234.137
319,54584.984
320,57315.73
321,60195.137
322,60092.746
323,58183.57
324,56814.973
325,56035.453
326,56416.39
327,58462.17
328,61076.418
329,63306.125
330,64767.297
331,65272.242
332,65389.66
333,64622.65
334,63053.402
335,61357.504
336,59201.094
337,55641.5
338,54192.91
339,53166.133
340,52614.035
341,52288.72
342,52019.984
343,51641.12
344,51489.63
345,51532.867
346,52087.137
347,53196.523
348,54053.984
349,54364.477
350,54910.26
351,55575.637
352,56213.305
353,56290.203
354,55893.816
355,55182.043
356,54243.53
357,53397.934
358,52825.055
359,52508.035
360,52488.78
361,52418.652
362,52448.246
363,52689.324
364,52876.87
365,53061.37
366,53330.76
367,53655.914
368,53927.254
369,53879.742
370,53675.152
371,53359.195
372,53068.918
373,52715.95
374,52902.867
375,53741.14
376,54638.207
377,55474.06
378,55999.957
379,56096.6
380,55967.082
381,55661.805
382,55273.61
383,54396.594
384,53299.383
385,51699.242
386,50316.598
387,49586.598
388,49423.02
389,49916.51
390,51595.98
391,53977.418
392,57169.965
393,60655.75
394,61068.863
395,59916.27
396,59295.305
397,59225.34
398,59754.41
399,61218.03
400,62810.293
401,64433.227
402,65342.566
403,65666.07
404,65615.3
405,65318.934
406,64402.58
407,62466.695
408,61047.44
409,59176.344
410,56391.473
411,54747.99
412,53718.17
413,53516.05
414,53660.723
415,54319.188
416,55979.258
417,59423.766
418,61387.984
419,60412.324
420,59219.082
421,58558.613
422,58730.566
423,60087.695
424,62448.41
425,64828.266
426,65389.07
427,65409.902
428,65186.582
429,63920.973
430,62292.805
431,60317.945
432,56829.37
433,54877.586
434,53548.1
435,53123.086
436,53383.01
437,54422.203
438,56579.82
439,59380.617
440,61465.844
441,63032.22
442,63890.887
443,64198.22
444,64091.035
445,63805.56
446,63503.645
447,63354.41
448,63533.516
449,64095.13
450,64641.562
451,64976.277
452,65311.27
453,65210.36
454,64045.05
455,62817.875
456,61127.32
457,58319.973
458,56248.72
459,55491.133
460,55100.51
461,55597.824
462,56736.613
463,58120.105
464,60558.61
465,62916.473
466,64156.188
467,64420.027
468,64552.023
469,64125.973
470,63336.168
471,62715.32
472,62622.855
473,62989.82
474,63787.957
475,64580.234
476,65142.82
477,65217.266
478,64213.125
479,62749.07
480,61428.117
481,59181.38
482,56411.98
483,54929.754
484,53880.082
485,53437.125
486,53886.652
487,54843.363
488,56656.66
489,59732.508
490,62195.242
491,61667.15
492,59623.965
493,57887.305
494,57469.08
495,59283.797
496,61507.14
497,63616.52
498,65447.816
499,66202.77
500,66130.89
501,65863.44
502,64093.36
503,62036.4
504,60552.94
505,57133.61
506,55074.74
507,53201.566
508,51909.87
509,51381.36
510,51297.438
511,51550.508
512,51897.047
513,50445.207
514,47447.473
515,45276.875
516,44434.473
517,44782.426
518,46096.82
519,48390.47
520,50586.727
521,52598.99
522,55184.6
523,57294.266
524,58568.72
525,58478.19
526,57274.035
527,55939.402
528,54582.4
529,52652.605
530,51016.543
531,49543.414
532,48545.676
533,48344.188
534,48305.04
535,48334.242
536,47463.543
537,46156.492
538,44644.9
539,43740.043
540,43449.266
541,43532.035
542,43843.82
543,44652.992
544,47228.69
545,49694.004
546,53067.11
547,56853.74
548,58680.742
549,59066.24
550,58062.348
551,56627.66
552,55330.56
553,52052.21
554,49866.63
555,48283.33
556,47929.258
557,48196.51
558,49164.773
559,51778.535
560,54921.387
561,59361.73
562,60798.438
563,59607.83
564,58869.71
565,58730.688
566,60180.61
567,62774.99
568,64933.39
569,66198.79
570,66461.64
571,66369.35
572,66118.85
573,64985.133
574,62646.547
575,61062.047
576,58976.586
577,56975.984
578,55541.152
579,54319.07
580,53804.625
581,53925.734
582,54818.645
583,56403.734
584,58971.78
585,61087.227
586,62577.88
587,62928.254
588,62793.332
589,62629.867
590,62703.5
591,63265.37
592,64311.285
593,65191.598
594,65615.48
595,65610.77
596,65325.73
597,64493.535
598,62799.99
599,61087.395
600,58254.176
601,55918.457
602,54680.44
603,54055.297
604,54008.4
605,54542.242
606,55800.586
607,58727.125
608,61080.055
609,62104.53
610,61636.06
611,60846.004
612,60339.277
613,60391.074
614,61422.0
615,62476.375
616,63400.25
617,64054.996
618,64379.254
619,64570.367
620,64531.742
621,63848.28
622,62511.32
623,60877.44
624,58347.375
625,55797.848
626,54635.73
627,53888.01
628,53651.727
629,54028.242
630,54979.875
631,56486.824
632,58662.508
633,61216.914
634,61333.797
635,59553.52
636,58055.88
637,57174.57
638,57504.957
639,59234.047
640,61444.44
641,63404.98
642,64719.297
643,65160.645
644,65292.12
645,64700.355
646,63089.168
647,61594.113
648,59524.375
649,56444.33
650,54698.375
651,53455.777
652,52814.035
653,53030.855
654,53804.676
655,55216.445
656,57942.39
657,60789.44
658,60212.812
659,57671.656
660,56128.523
661,55569.062
662,56274.758
663,58006.676
664,60507.37
665,63210.754
666,65587.72
667,66158.32
668,66405.3
669,65985.03
670,63892.152
671,61762.105
672,59784.87
673,56475.84
674,54479.18
675,52744.973
676,51723.367
677,51225.39
678,51222.58
679,51414.008
680,51074.746
681,47542.508
682,44608.62
683,43905.13
684,43915.023
685,44486.406
686,46332.305
687,48928.754
688,51598.95
689,54342.793
690,56856.703
691,58245.76
692,59200.668
693,58883.85
694,57621.12
695,56402.184
696,55070.348
697,54206.742
698,53156.816
699,52428.652
700,51977.297
701,52004.85
702,52665.027
703,53433.543
704,54248.727
705,55042.133
706,55941.035
707,56801.31
708,57470.562
709,57990.816
710,58350.773
711,58556.734
712,58726.652
713,58814.727
714,58741.45
715,58550.69
716,58257.83
717,57861.703
718,57472.703
719,57152.54
720,56869.875
721,57990.36
722,57750.242
723,56402.086
724,56290.203
725,56499.348
726,57139.973
727,57963.344
728,58894.258
729,59562.56
730,60051.055
731,60302.344
732,60431.16
