,0
0,60036.24
1,56981.812
2,54712.26
3,53252.125
4,52807.887
5,52776.793
6,53149.25
7,53678.707
8,54083.086
9,54071.18
10,53115.45
11,51381.53
12,49468.15
13,47320.887
14,46522.883
15,47828.457
16,49434.062
17,51417.824
18,53455.664
19,55306.29
20,56714.824
21,57357.54
22,57094.875
23,56241.492
24,55040.543
25,53783.832
26,52083.715
27,50540.85
28,49937.863
29,49899.816
30,49870.844
31,50048.316
32,49727.85
33,47642.312
34,44001.293
35,40310.6
36,39312.984
37,39765.547
38,40482.355
39,41911.9
40,43989.316
41,46336.82
42,49105.637
43,52530.1
44,55669.5
45,56908.7
46,56737.195
47,55854.1
48,54708.32
49,51776.637
50,48908.887
51,48070.402
52,47888.625
53,48452.258
54,50037.156
55,52503.844
56,55560.242
57,58390.562
58,59448.906
59,58158.293
60,56054.03
61,54090.0
62,54314.98
63,56061.773
64,57974.387
65,60031.664
66,62252.344
67,63819.887
68,64580.73
69,64124.574
70,62801.613
71,61336.406
72,59515.645
73,57017.51
74,54624.133
75,53225.29
76,52718.01
77,53022.918
78,54130.023
79,55750.375
80,57386.855
81,59245.3
82,59556.883
83,58363.824
84,57008.28
85,56508.53
86,57126.992
87,58340.637
88,60080.914
89,61885.117
90,63119.832
91,63838.26
92,64004.773
93,63571.7
94,62481.863
95,61095.707
96,59069.523
97,56408.336
98,54146.77
99,52806.664
100,52588.582
101,53027.164
102,53679.78
103,54302.363
104,55004.57
105,55714.23
106,56298.176
107,56338.164
108,55931.27
109,55722.812
110,56030.676
111,56943.074
112,58380.387
113,60067.445
114,61382.05
115,62189.195
116,62533.824
117,62201.77
118,61400.133
119,60296.836
120,59087.023
121,56941.51
122,54724.65
123,52809.51
124,52037.63
125,52474.79
126,54142.76
127,56934.242
128,60902.605
129,63940.367
130,64755.395
131,63387.137
132,61283.543
133,59890.523
134,59260.344
135,59667.43
136,60980.445
137,62389.664
138,63483.363
139,64421.688
140,64684.992
141,64088.062
142,62857.824
143,61439.95
144,59960.562
145,57782.52
146,55471.54
147,53744.113
148,52811.96
149,52484.24
150,52884.406
151,54157.758
152,56147.273
153,58421.48
154,60522.03
155,60427.03
156,58929.48
157,58040.914
158,58434.375
159,59873.85
160,61868.242
161,63675.03
162,64964.883
163,65534.344
164,65358.71
165,64283.03
166,62672.867
167,61153.395
168,59294.195
169,56150.508
170,53815.914
171,52432.26
172,52122.53
173,52053.543
174,52314.363
175,52619.055
176,52926.01
177,52791.645
178,51982.406
179,49944.81
180,48184.76
181,47388.09
182,47441.176
183,48499.12
184,50100.727
185,52016.688
186,54010.23
187,55800.914
188,57150.664
189,57859.805
190,57576.758
191,56564.3
192,54991.105
193,53199.695
194,51095.035
195,49466.457
196,48648.707
197,48387.695
198,48257.656
199,48022.348
200,47368.69
201,45788.414
202,43624.703
203,42736.74
204,42435.33
205,42484.664
206,43214.504
207,44522.977
208,46517.348
209,48983.85
210,51815.78
211,54730.695
212,56962.54
213,57863.55
214,57592.73
215,56543.676
216,54895.637
217,51436.79
218,48993.277
219,48003.06
220,47793.8
221,48383.97
222,49912.758
223,52394.695
224,56022.773
225,61073.094
226,65546.445
227,68217.49
228,67853.89
229,66662.49
230,65820.7
231,65014.867
232,64154.082
233,63569.613
234,62932.926
235,62614.742
236,62695.793
237,61806.406
238,60790.8
239,61954.387
240,65364.727
