,0
5063,60068.53578843325
5064,56591.47362046528
5065,54226.56800599793
5066,53263.99990511264
5067,52241.69381436317
5068,52638.343217472604
5069,53715.84629043921
5070,57033.276446181924
5071,58259.5407621659
5072,53578.84835244191
5073,48291.115059948446
5074,50544.194147322574
5075,50572.39113506082
5076,48008.66716416202
5077,56398.776078298426
5078,51342.50709871486
5079,48205.54235588403
5080,50517.43352447621
5081,49873.90670038898
5082,57356.65920037195
5083,57584.618897699176
5084,57906.56318047841
5085,57574.644745318605
5086,57003.758127803776
5087,55526.59419555278
5088,52760.90129432681
5089,50637.941302025596
5090,48457.697099692065
5091,48899.93797230771
5092,49440.05554231783
5093,50102.53479868862
5094,51971.67244919421
5095,51682.101416222715
5096,48117.3506660877
5097,39743.38334795715
5098,43169.430280075816
5099,38100.53416378803
5100,39142.97532443791
5101,45637.39376403043
5102,37217.78352244869
5103,44220.29657596315
5104,47923.01195432127
5105,52883.96861566904
5106,57155.94589082297
5107,58192.61331110548
5108,56917.77893418147
5109,58035.19835748304
5110,56847.09101551226
5111,54760.32372293705
5112,50298.638879001126
5113,50780.74320411042
5114,49066.066908869514
5115,48551.849995562225
5116,48689.58507989174
5117,50507.444463668326
5118,50493.93272717461
5119,53683.21321560073
5120,58455.545947187406
5121,62737.79794276822
5122,60223.928434474015
5123,59238.0482344279
5124,59949.360056042584
5125,56169.76444348555
5126,63781.171239553376
5127,65048.57851198889
5128,65613.48212561375
5129,67439.66367407983
5130,66002.45792581959
5131,67630.78601651407
5132,65585.9538781185
5133,62478.627813954954
5134,62602.7005820196
5135,60874.59605447916
5136,57005.70601241217
5137,54081.38651537397
5138,54299.08271826795
5139,53582.85941183087
5140,54418.26487968518
5141,55082.64755829672
5142,58277.62428468831
5143,61171.02771888432
5144,62405.758181313104
5145,62069.53519603143
5146,60080.98434743746
5147,55811.93765986092
5148,52403.49332788532
5149,53613.220016844614
5150,56464.80090380846
5151,57717.51045702062
5152,60962.23341992198
5153,64502.467010462286
5154,65769.16752629764
5155,67481.07337439616
5156,65893.9240030881
5157,63311.02068719611
5158,62833.22243567399
5159,60999.385048050026
5160,58330.653068389016
5161,54284.44546461834
5162,54977.89940445815
5163,53484.458824507434
5164,54007.12112691144
5165,55729.142713541485
5166,57746.17977140454
5167,57493.32128056536
5168,55633.773088725306
5169,48930.91830735208
5170,50388.897697451495
5171,49293.81525638401
5172,47334.84936768196
5173,52140.2335118347
5174,47885.09790116321
5175,54021.796572734354
5176,54251.01718653407
5177,55500.001817689015
5178,61382.0173408296
5179,62769.98195214109
5180,61450.741465764135
5181,61506.61314693878
5182,60929.367511680575
5183,57029.012345011884
5184,54404.756779792326
5185,53400.333707661426
5186,52331.94254618734
5187,50618.80924981094
5188,52042.59168941655
5189,54015.20538390539
5190,54791.525784443635
5191,56898.24340581639
5192,61972.220448103064
5193,67464.66784683769
5194,63221.10493116182
5195,60860.730868372215
5196,56721.27861031053
5197,56653.85847764523
5198,60078.438363432324
5199,61339.16555861776
5200,62531.04740900182
5201,64748.22716517673
5202,64496.15999974262
5203,67365.98973448269
5204,65373.15470568838
5205,63161.31482681552
5206,62641.28864620225
5207,59189.03246969978
5208,57658.83075337922
5209,53019.261655065784
5210,52944.712001255226
5211,53702.7398360309
5212,53136.53891684036
5213,54530.82246183952
5214,56182.5886855422
5215,57285.190801764926
5216,59160.24078325303
5217,59097.53194473871
5218,57268.57237543218
5219,53432.53778932024
5220,50803.65746608797
5221,50268.5511203631
5222,57077.42532472168
5223,56952.210666925435
5224,60060.65306552057
5225,63723.46402149201
5226,63835.42001653041
5227,63850.81785196581
5228,63535.80833433516
5229,61819.075991734564
5230,59649.721656562564
5231,59830.50434776365
5232,55139.233237624714
5233,53253.42666181979
5234,51824.53469470807
5235,51431.684534494685
5236,52251.21767160129
5237,53973.77138981412
5238,54803.71216771281
5239,55193.92617556962
5240,51566.95829491294
5241,43599.87497469501
5242,45165.810504195084
5243,43228.14929497175
5244,42250.97808570486
5245,46481.098022006416
5246,44645.937416063665
5247,45966.50326271722
5248,51116.316292434094
5249,51510.86007603124
5250,56836.895128331525
5251,57267.130447178104
5252,56615.900581317415
5253,56926.10555441073
5254,55001.86538866951
5255,55555.78483309278
5256,50920.85311018138
5257,49985.24696820778
5258,48288.18656501774
5259,48453.22044832513
5260,48465.50052034191
5261,48714.524763720845
5262,51518.680661596314
5263,50642.41999312724
5264,45116.85464886272
5265,38990.89365996004
5266,40699.9879967785
5267,39375.80952371593
5268,39991.128353147935
5269,46564.7429450375
5270,42946.465896908056
5271,46031.455960999694
5272,51451.41783396674
5273,51445.95683841869
5274,56140.90206519068
5275,58194.831699652015
5276,57788.3178768677
5277,56650.57970605145
5278,57234.51296413096
5279,52981.58902562063
5280,49843.27728488449
5281,50298.00475828089
5282,47685.15283908412
5283,48397.17551602615
5284,48151.88381710063
5285,49283.144805795644
5286,50441.38338960892
5287,51899.05412662279
5288,59999.951137482
5289,69094.71268794377
5290,68054.59379316802
5291,66374.36058652485
5292,64525.20664067524
5293,64303.269110105335
5294,69954.46062618471
5295,68296.07594957738
5296,68810.71810653075
5297,68376.80794018703
5298,67507.8830030782
5299,67567.46168517812
5300,65155.961459148115
5301,62314.09332938688
5302,61447.330893073835
5303,61248.07789783235
5304,55603.60520029733
5305,53974.81797307585
5306,53780.08570923642
5307,53336.20754106875
5308,53422.89391666416
5309,54541.195088341265
5310,56165.829445218405
5311,58197.97495130261
5312,64397.89472517989
5313,66685.24099476622
5314,64812.550287969345
5315,61497.29033921799
5316,55764.289549624715
5317,53687.701258238616
5318,57979.53364828218
5319,56674.56114191917
5320,59858.74738716973
5321,64394.69595086235
5322,66703.99647731609
5323,67946.82449013126
5324,65605.96506477137
5325,63912.367297958255
5326,61966.13823989901
5327,60963.52980432165
5328,56499.40938416923
5329,54457.66499825887
5330,53988.23613923971
5331,52713.97782727702
5332,53488.114461278914
5333,55782.92694368794
5334,56805.05528563944
5335,59923.791178827334
5336,60297.71935672876
5337,59397.56409448222
5338,55419.60527862034
5339,54160.34878283213
5340,49894.170982797936
5341,54429.320698399395
5342,57187.55979949326
5343,58747.489018906075
5344,64734.711556229726
5345,62891.48033896684
5346,65836.99220308564
5347,65553.39604377402
5348,65570.31763371832
5349,62154.47005154979
5350,63560.602309667425
5351,58966.655333410235
5352,57230.716605082685
5353,53525.244744644326
5354,54739.268732115204
5355,51780.613793684926
5356,54547.540234847715
5357,53404.30854511066
5358,57620.95111296317
5359,59454.35352225158
5360,59099.690801945944
5361,58491.05197973884
5362,55920.55863001608
5363,54731.350736323875
5364,51955.477951060035
5365,53287.51610196916
5366,57558.61392481413
5367,58695.46675188095
5368,61336.81338422392
5369,64702.07000012519
5370,65818.96052078069
5371,67253.13540163077
5372,65304.083034766416
5373,63050.36288581928
5374,61639.44673962939
5375,60508.3358846142
5376,55786.9583665489
5377,54304.99647130515
5378,53442.62081998503
5379,52892.3969373083
5380,53208.34990184037
5381,53791.51746395431
5382,55976.81867962293
5383,57915.50788963114
5384,58034.39686350161
5385,57882.275256273475
5386,56235.013343266335
5387,53492.559454495466
5388,51209.17989842314
5389,53673.845120445316
5390,56309.09111194643
5391,59020.48567148681
5392,61442.56269706384
5393,63843.79321202492
5394,63550.72156692406
5395,65159.88107746088
5396,63270.6708306097
5397,61905.42917682875
5398,60206.92514185942
5399,59611.24547239175
