,0
0,60060.438
1,56363.387
2,55109.562
3,54566.824
4,54364.855
5,54255.324
6,54360.656
7,54527.105
8,54630.113
9,54406.96
10,53318.387
11,51049.418
12,48459.453
13,45957.895
14,45319.832
15,46514.203
16,48333.168
17,50649.02
18,52804.85
19,54799.27
20,56425.54
21,57063.137
22,56916.332
23,56533.47
24,55899.438
25,54697.883
26,53069.336
27,51471.605
28,50495.375
29,49897.918
30,49392.676
31,49166.605
32,48690.727
33,47101.945
34,44969.395
35,43424.668
36,42771.895
37,42668.35
38,43083.35
39,43952.05
40,45617.43
41,48224.508
42,51193.633
43,54077.508
44,56148.26
45,56728.812
46,56629.258
47,56117.742
48,55236.625
49,52330.066
50,50264.496
51,49034.43
52,48597.848
53,48796.496
54,49867.6
55,52212.145
56,55145.35
57,58213.273
58,58964.926
59,57655.03
60,55820.023
61,55088.49
62,55400.5
63,56639.863
64,59006.938
65,61730.613
66,63817.79
67,64822.21
68,64871.8
69,64071.45
70,62756.418
71,61214.53
72,59134.76
73,56318.938
74,54508.895
75,53734.637
76,53551.8
77,54083.555
78,55511.82
79,58008.24
80,59848.25
81,59707.97
82,58494.332
83,57542.418
84,57150.855
85,57422.586
86,58306.74
87,59484.04
88,60806.395
89,61965.207
90,63042.21
91,63562.855
92,63678.22
93,63122.742
94,62034.008
95,60661.29
96,58717.867
97,56262.508
98,55181.5
99,54830.664
100,55023.8
101,55400.887
102,56054.062
103,56738.086
104,57454.992
105,57839.242
106,58041.695
107,57824.043
108,57429.21
109,57269.77
110,57275.555
111,57478.18
112,58134.594
113,59146.645
114,60521.15
115,61879.977
116,62734.43
117,62916.773
118,62637.555
119,61873.71
120,60741.7
121,57594.117
122,55286.824
123,54081.258
124,53824.957
125,54427.45
126,55909.93
127,58136.03
128,60782.73
129,62517.227
130,63097.137
131,62828.117
132,61774.414
133,60796.926
134,60426.0
135,60932.125
136,61991.406
137,62956.117
138,63903.47
139,64662.99
140,64890.02
141,64462.57
142,63345.96
143,61904.562
144,60478.125
145,58252.51
146,55730.55
147,54323.887
148,53612.98
149,53485.156
150,54016.48
151,55454.55
152,57649.113
153,60497.7
154,61221.2
155,60105.9
156,58957.832
157,58297.324
158,58741.5
159,60098.523
160,61946.555
161,63718.844
162,65020.145
163,65783.7
164,65611.29
165,64621.863
166,63051.227
167,61552.75
168,59597.367
169,56072.383
170,54258.457
171,53277.586
172,52628.3
173,52355.727
174,52444.094
175,52792.582
176,53261.074
177,53061.24
178,51769.336
179,49148.75
180,46698.258
181,45637.05
182,45815.574
183,47162.355
184,49103.305
185,51065.516
186,53294.105
187,55555.48
188,56924.793
189,57383.117
190,57285.637
191,56951.07
192,56064.54
193,54548.055
194,52764.383
195,51228.883
196,49901.492
197,49094.145
198,48600.504
199,48434.926
200,48307.297
201,47148.94
202,44855.18
203,43465.246
204,42790.383
205,42730.85
206,43291.844
207,44401.418
208,46486.246
209,49733.133
210,52581.938
211,55366.242
212,57034.312
213,57694.355
214,57675.977
215,57238.008
216,56191.105
217,52619.094
218,50293.523
219,48867.508
220,48290.152
221,48338.133
222,49203.305
223,51936.15
224,55695.832
225,60015.24
226,62545.023
227,64045.023
228,64709.633
229,65030.01
230,64871.57
231,64191.22
232,63070.855
233,62034.805
234,61288.836
235,61359.625
236,62076.883
237,62745.195
238,63231.96
239,63616.895
240,63939.844
241,64298.24
242,64540.74
243,64726.605
244,64694.29
245,64460.586
246,64025.7
247,63466.605
248,62848.367
249,62490.15
250,62604.617
251,62956.355
252,63165.887
253,63199.49
254,63180.586
255,63098.47
256,63140.613
257,63444.99
258,63961.4
259,64513.1
260,64754.137
261,64342.426
262,63287.6
263,62012.27
264,60482.945
265,58322.1
266,56484.54
267,55343.355
268,54869.645
269,54895.43
270,55441.082
271,56686.258
272,58508.906
273,61108.137
274,62980.02
275,62035.062
276,59782.51
277,58141.76
278,57883.35
279,59241.32
280,60654.72
281,62616.023
282,64197.22
283,64894.418
284,64860.668
285,64049.023
286,62776.023
287,61656.105
288,60423.957
289,58192.03
290,55681.01
291,54272.145
292,53582.79
293,53428.906
294,53955.695
295,55314.227
296,57230.543
297,59826.613
298,61140.656
299,59563.133
300,57753.03
301,56637.695
302,56489.15
303,57584.387
304,59570.375
305,61636.582
306,63356.645
307,64545.062
308,64854.414
309,64286.98
310,63140.82
311,61949.23
312,60633.46
313,58859.855
314,56073.992
315,54202.344
316,53260.824
317,52947.387
318,53309.906
319,54431.227
320,56491.3
321,59414.086
322,60179.883
323,58969.52
324,57206.926
325,56502.4
326,57203.7
327,59297.52
328,61528.29
329,63346.25
330,64732.062
331,65429.707
332,65279.695
333,64328.05
334,62880.02
335,61250.805
336,59117.977
337,55448.867
338,54051.35
339,53174.875
340,52624.25
341,52416.02
342,52569.1
343,52660.176
344,52838.51
345,53009.65
346,53549.695
347,54433.305
348,55169.24
349,55335.97
350,55444.574
351,55593.957
352,55848.367
353,55672.05
354,55118.438
355,54426.188
356,53682.45
357,53050.355
358,52554.406
359,52207.04
360,51973.406
361,51678.492
362,51410.914
363,51349.39
364,51512.414
365,51876.043
366,52331.656
367,52831.508
368,53266.28
369,53301.773
370,53101.195
371,52761.28
372,52436.895
373,52097.977
374,52313.047
375,53090.78
376,54251.79
377,55310.824
378,56108.508
379,56552.7
380,56645.97
381,56361.57
382,55731.18
383,54730.387
384,53583.8
385,50626.6
386,49329.242
387,48811.89
388,48788.76
389,49337.664
390,50860.07
391,53520.49
392,56885.574
393,59870.395
394,60896.836
395,60549.168
396,59834.523
397,59585.95
398,60213.633
399,61728.45
400,63278.96
401,64544.78
402,65378.293
403,65821.02
404,65789.33
405,65269.387
406,64148.977
407,62473.137
408,60726.555
409,58639.71
410,56016.65
411,54691.133
412,54009.695
413,53905.117
414,54201.65
415,55090.54
416,56715.113
417,59307.15
418,60978.28
419,60796.68
420,59832.645
421,59165.926
422,59480.582
423,60737.062
424,62673.32
425,64685.055
426,65587.34
427,65788.086
428,65343.168
429,64064.03
430,62281.48
431,60225.062
432,57345.637
433,54903.055
434,53769.188
435,53372.617
436,53594.9
437,54638.664
438,56383.75
439,58769.438
440,61299.29
441,62931.605
442,63716.98
443,64059.57
444,63927.605
445,63487.6
446,62984.1
447,62686.438
448,62759.78
